#{"t_start": 1636776094.1828685, "env_id": "multicomp/SumoHumans-v0"}
r,l,t,r0,r1
-1043.38649,55,44.931975,955.853075,-1043.38649
-1089.086063,54,45.458411,-11.066885,-1089.086063
-1021.778337,45,45.894664,8.649422,-1021.778337
-1060.486873,50,46.378343,-71.21995,-1060.486873
-1109.208943,54,46.969284,-84.249923,-1109.208943
-1035.24757,49,47.540715,-28.673113,-1035.24757
-963.681334,46,48.069516,15.965092,-963.681334
-975.284192,37,48.516219,109.152531,-975.284192
-946.022271,57,49.089146,-82.780738,-946.022271
-1020.708977,48,49.560234,-37.753663,-1020.708977
-1070.653039,58,50.13398,-21.583625,-1070.653039
-1051.630559,55,50.682645,-90.032721,-1051.630559
-1202.316891,70,51.351698,-120.493534,-1202.316891
-933.864587,37,51.699106,45.968938,-933.864587
-976.560963,53,52.209207,6.59816,-976.560963
-1011.117458,45,52.626408,-7.305759,-1011.117458
-1012.744585,50,53.147433,987.463683,-1012.744585
-1024.186048,53,53.699364,-30.286232,-1024.186048
-1137.014362,58,54.248084,33.885327,-1137.014362
-1064.765252,57,54.804291,-62.667061,-1064.765252
-1051.691971,50,55.260108,-34.675269,-1051.691971
-1172.695326,64,55.90955,-158.711236,-1172.695326
-1108.871806,57,56.510098,-81.58317,-1108.871806
-986.681342,38,56.87717,41.662612,-986.681342
-990.283912,61,57.491907,17.674974,-990.283912
-1050.021949,45,57.983568,107.912811,-1050.021949
-966.404293,39,58.373244,27.635831,-966.404293
-1049.508407,49,58.881283,2.575908,-1049.508407
-1000.225238,42,59.403598,49.405225,-1000.225238
-950.925994,39,59.780966,20.785588,-950.925994
-1194.103198,65,60.453997,-62.02192,-1194.103198
-1099.691856,58,61.071699,-77.305296,-1099.691856
-1045.32008,53,61.742371,-78.071297,-1045.32008
-974.382399,39,62.271491,29.491326,-974.382399
-1272.771194,85,63.307199,760.707578,-1272.771194
-1052.821687,55,63.994991,965.570563,-1052.821687
-1102.411758,57,64.758921,1.88526,-1102.411758
-1134.890554,59,65.44526,-133.18304,-1134.890554
-1070.755269,49,65.923472,-84.885468,-1070.755269
-1119.942859,63,67.177593,-98.857282,-1119.942859
-1021.562865,49,67.693509,-23.778166,-1021.562865
-1001.387555,48,68.202545,-8.721166,-1001.387555
-1011.952277,46,68.702114,-18.515379,-1011.952277
-973.166894,38,69.091211,10.755663,-973.166894
-1006.050582,39,69.499523,16.581587,-1006.050582
-1142.046414,61,70.258077,-124.957793,-1142.046414
-1001.426126,45,70.782888,7.434178,-1001.426126
-1020.424191,52,71.447976,-75.544712,-1020.424191
-953.806755,39,71.937147,30.192123,-953.806755
-972.125893,41,72.487989,81.607826,-972.125893
