#{"t_start": 1638317606.1432369, "env_id": "multicomp/SumoHumans-v0"}
r,l,t,r0,r1
-1082.202296,55,1.783303,-72.808917,-1082.202296
-982.896769,43,2.213846,40.31822,-982.896769
-1167.432686,59,2.769382,802.370922,-1167.432686
-983.079278,39,3.139491,57.089925,-983.079278
-991.682076,39,3.512805,25.361298,-991.682076
-1018.8657,54,4.0294,-58.333598,-1018.8657
-1082.922661,71,4.717473,-180.694372,-1082.922661
-1106.307904,64,5.338938,-99.41317,-1106.307904
-994.987001,60,5.920073,-74.758656,-994.987001
-1037.890354,57,6.475484,-76.927594,-1037.890354
-964.33378,42,6.877985,36.027037,-964.33378
-944.295195,39,7.283362,54.281696,-944.295195
-1050.188416,57,7.839742,-26.976293,-1050.188416
-951.646271,36,8.201621,70.328957,-951.646271
-1069.595132,54,8.724274,-83.12224,-1069.595132
-1080.979257,49,9.209903,37.049366,-1080.979257
-1021.903304,37,9.568162,63.717481,-1021.903304
-1053.889263,50,10.051158,-51.200819,-1053.889263
-1010.633276,53,10.602009,17.760642,-1010.633276
-1053.635113,52,11.10025,-56.257818,-1053.635113
-1021.191887,38,11.467701,42.307793,-1021.191887
-1094.213124,54,11.988568,-92.315356,-1094.213124
-1018.833506,48,12.442448,76.80973,-1018.833506
-1210.768502,72,13.12016,-151.181914,-1210.768502
-1042.01591,50,13.583199,-38.183521,-1042.01591
-1004.482863,47,14.034312,29.193302,-1004.482863
-964.760447,37,14.39216,25.20946,-964.760447
-1072.166952,55,14.898456,-88.005977,-1072.166952
-2194.302117,60,15.490385,-175.89324,-2194.302117
-1005.343916,50,15.980088,-29.370735,-1005.343916
-1307.343527,89,16.86572,-293.662537,-1307.343527
-1254.81722,83,17.749189,611.708967,-1254.81722
-960.80797,48,18.224971,1.864495,-960.80797
-1032.922758,49,18.735513,-13.203693,-1032.922758
-2261.276271,56,19.384884,-260.528427,-2261.276271
-1057.990031,47,19.889559,45.052749,-1057.990031
-1011.569861,49,20.378786,-2.382798,-1011.569861
-1078.773413,50,20.906506,116.376191,-1078.773413
-1287.139862,77,22.168075,-180.001699,-1287.139862
-1001.022173,47,22.648593,-27.254064,-1001.022173
-1352.051422,98,23.628969,-399.744689,-1352.051422
-1178.852987,63,24.251386,-102.354784,-1178.852987
-1046.139927,50,24.764584,-19.284,-1046.139927
-994.366911,36,25.129728,109.175007,-994.366911
-1038.499609,48,25.612362,-11.042808,-1038.499609
-1042.77388,47,26.10289,2.699497,-1042.77388
-1227.708769,80,26.900144,-153.077454,-1227.708769
