#{"t_start": 1636776134.878684, "env_id": "multicomp/SumoHumans-v0"}
r,l,t,r0,r1
-1032.868453,46,4.149053,4.959197,-1032.868453
-1058.946596,47,4.619295,32.881316,-1058.946596
-972.916195,43,5.019315,41.260439,-972.916195
-947.023919,63,5.628339,-100.185617,-947.023919
-1153.176355,72,6.404605,-125.234585,-1153.176355
-1080.772516,49,7.001792,-62.553027,-1080.772516
-1089.87373,56,7.632203,-52.041735,-1089.87373
-982.421657,37,8.068832,92.048087,-982.421657
-1089.873634,57,8.611436,-91.92462,-1089.873634
-1065.762388,52,9.129413,13.525876,-1065.762388
-1066.098479,47,9.601863,-0.733744,-1066.098479
-1195.904478,60,10.18579,24.970463,-1195.904478
-996.502159,44,10.604554,4.877204,-996.502159
-1350.978869,85,11.416519,-239.62091,-1350.978869
-994.257885,47,11.860271,-27.044252,-994.257885
-994.468644,47,12.345972,64.202778,-994.468644
-1036.757164,53,12.857138,972.509878,-1036.757164
-1127.593047,65,13.51468,-71.931621,-1127.593047
-1185.34156,81,14.282678,771.369608,-1185.34156
-1098.540182,49,14.756172,-41.732021,-1098.540182
-1175.045192,73,15.523799,828.153433,-1175.045192
-1120.882514,54,16.053027,-6.898821,-1120.882514
-1077.618139,61,16.657264,-68.340789,-1077.618139
-1074.335547,52,17.202764,-101.813908,-1074.335547
-966.939059,42,17.648178,-3.909955,-966.939059
-1053.397507,46,18.106013,-29.768529,-1053.397507
-1063.303536,52,18.746425,-46.824092,-1063.303536
-1313.819848,82,19.578182,741.771676,-1313.819848
-1333.263446,93,20.605207,-266.97407,-1333.263446
-1356.156884,93,21.809627,-340.660284,-1356.156884
-953.088115,37,22.259853,38.138609,-953.088115
-1046.178652,56,22.914365,-53.984552,-1046.178652
-1111.850813,49,23.562474,7.911769,-1111.850813
-1159.468968,60,24.355644,-140.037618,-1159.468968
-1048.503801,49,24.871428,61.768948,-1048.503801
-967.324314,37,25.241057,28.832927,-967.324314
-1044.810242,54,26.402554,-97.3575,-1044.810242
-1139.55271,60,27.026932,-97.725429,-1139.55271
-1053.609106,44,27.491813,35.534775,-1053.609106
-1092.111563,47,28.002346,-57.087849,-1092.111563
-1050.632104,50,28.531622,-35.246524,-1050.632104
-1053.597912,59,29.207598,-12.077949,-1053.597912
-1022.080782,51,29.809318,-84.39766,-1022.080782
-985.89962,40,30.298452,0.491135,-985.89962
-1124.272736,50,30.918799,-77.723816,-1124.272736
-977.507497,49,31.583584,-43.695381,-977.507497
-1110.591101,65,32.501754,-121.98716,-1110.591101
-1002.222526,44,33.289871,1048.624686,-1002.222526
-1079.317505,53,33.899829,-86.139542,-1079.317505
-1014.160233,53,34.459751,-55.431759,-1014.160233
-1010.159521,39,34.900809,52.387086,-1010.159521
-985.459248,42,35.318385,-13.025565,-985.459248
-1099.845187,55,35.90165,-55.686404,-1099.845187
-1109.885562,59,36.546938,-102.966236,-1109.885562
-1151.510817,64,37.25661,27.021002,-1151.510817
-1197.395967,74,38.355846,-145.519935,-1197.395967
-1120.417174,64,39.372967,-95.621887,-1120.417174
-1015.001419,41,39.96656,39.898355,-1015.001419
-1136.816099,69,40.849741,871.383897,-1136.816099
-1055.892174,49,41.451359,-6.569988,-1055.892174
-977.309115,47,42.025004,-19.822993,-977.309115
-1019.672466,45,42.479825,51.087176,-1019.672466
-1081.300908,53,42.963528,-22.117188,-1081.300908
-1086.418808,60,43.583397,-93.780521,-1086.418808
-1085.138117,49,44.075756,30.958237,-1085.138117
-1022.823064,42,44.533036,-59.407896,-1022.823064
-974.520844,39,44.925558,9.096452,-974.520844
-1100.786725,57,45.468848,-39.235599,-1100.786725
-1071.548628,56,46.014099,-112.087696,-1071.548628
-940.500825,42,46.548811,-12.517557,-940.500825
-1058.450805,51,47.186811,-15.734894,-1058.450805
-1146.245567,63,48.14831,-85.439604,-1146.245567
-1177.272418,73,49.504069,-157.466527,-1177.272418
-1035.161283,38,50.05135,28.554106,-1035.161283
-942.739732,39,50.616356,44.426081,-942.739732
-1007.178936,42,51.562487,23.038636,-1007.178936
-1063.291127,55,52.411621,103.36466,-1063.291127
-1326.154947,86,53.966341,-275.307976,-1326.154947
-1123.290456,55,55.323277,-27.293935,-1123.290456
-1105.435353,51,56.576789,-7.143986,-1105.435353
-987.543208,40,57.444421,107.54261,-987.543208
-999.645344,43,58.271195,15.602121,-999.645344
-1008.280544,46,59.36416,37.477514,-1008.280544
-1002.391704,48,60.672224,-26.189489,-1002.391704
-1299.591869,80,62.645352,-256.360439,-1299.591869
-1107.70637,58,63.822711,-94.928473,-1107.70637
-1022.767909,45,64.741889,-0.460482,-1022.767909
-1016.090715,42,65.658441,-32.422875,-1016.090715
-1044.735706,58,67.076346,-6.230353,-1044.735706
-994.084227,39,68.412405,-6.058349,-994.084227
-1103.562203,56,70.199267,-69.072327,-1103.562203
-1166.419646,66,71.601432,-145.351115,-1166.419646
-1122.165864,61,73.343675,124.240354,-1122.165864
-1199.478033,72,74.773906,-101.533416,-1199.478033
-1232.748002,64,75.845344,-94.72993,-1232.748002
-1192.421238,72,76.929685,-170.138899,-1192.421238
-1044.798687,44,77.712484,-3.267953,-1044.798687
-1025.739005,51,78.560536,-32.665492,-1025.739005
-1046.388242,54,79.626811,-52.148156,-1046.388242
-939.312312,51,80.491745,-78.839318,-939.312312
-1115.712232,52,81.444904,-78.791106,-1115.712232
-1085.908805,60,82.524634,-101.322536,-1085.908805
-1041.894054,51,83.58409,-40.64181,-1041.894054
-1155.200426,59,84.736217,65.879481,-1155.200426
-970.370986,39,85.367713,31.924722,-970.370986
-1078.66136,56,86.403006,-81.192903,-1078.66136
-1049.300872,49,87.362003,-66.314437,-1049.300872
-1140.128429,62,88.696105,-55.195293,-1140.128429
-1219.086213,80,89.972018,-187.392231,-1219.086213
-1074.337713,48,90.649045,-30.540115,-1074.337713
-1160.979837,66,91.5808,-101.266352,-1160.979837
-1133.394634,56,92.324356,110.217424,-1133.394634
-1072.62258,55,93.370765,-85.831906,-1072.62258
-1095.356976,60,94.213806,-80.374793,-1095.356976
-1015.671989,46,94.816404,-9.677871,-1015.671989
-1055.069176,45,95.343344,89.576907,-1055.069176
-988.48376,43,95.909015,131.524697,-988.48376
-1260.276552,78,97.02682,-115.30687,-1260.276552
-1065.408349,51,97.724365,-74.466677,-1065.408349
-1125.704737,57,98.43337,-60.159799,-1125.704737
-990.238277,39,99.062984,69.339172,-990.238277
-1113.763847,63,100.133162,-109.602905,-1113.763847
-1153.946084,63,101.198308,-120.162664,-1153.946084
-988.475595,49,101.978371,-8.68984,-988.475595
-1172.498249,75,103.137397,-179.200304,-1172.498249
-1125.337422,60,104.055869,-114.93714,-1125.337422
-959.090882,89,105.441904,-285.857471,-959.090882
-1086.671645,59,106.362684,-122.234011,-1086.671645
-1368.099618,105,107.920011,668.084825,-1368.099618
-1119.510133,63,108.765787,-96.128719,-1119.510133
-992.455313,40,109.29295,-13.970988,-992.455313
-1189.442701,62,110.118876,-129.940908,-1189.442701
-1028.015988,47,110.738285,15.612904,-1028.015988
-1020.692965,39,111.224581,-1.405646,-1020.692965
-1033.103295,51,111.912204,66.4845,-1033.103295
-1140.306734,63,112.724323,-121.987743,-1140.306734
-1078.817306,46,113.269129,-33.53044,-1078.817306
-1124.430239,57,113.973777,-67.130572,-1124.430239
-1122.128941,59,114.726774,-99.235448,-1122.128941
-1463.011053,99,116.014068,-343.62696,-1463.011053
-1082.491705,59,116.745604,933.15261,-1082.491705
-994.81812,39,117.268907,42.540018,-994.81812
-1056.325045,42,117.756876,28.099589,-1056.325045
-970.139542,42,118.317333,36.817443,-970.139542
-947.152553,39,118.824574,82.619139,-947.152553
-1390.106326,101,120.162451,694.681453,-1390.106326
-1002.728989,44,120.694824,16.675501,-1002.728989
-1163.721703,69,121.894804,-186.472387,-1163.721703
-1378.664784,93,123.054686,-301.217677,-1378.664784
-1027.525181,47,123.672522,1014.83002,-1027.525181
-1039.170974,50,124.504132,15.141314,-1039.170974
-1042.319819,50,125.442076,-48.358397,-1042.319819
-1073.89133,55,126.144945,-52.54616,-1073.89133
-976.717621,44,126.700666,-3.944796,-976.717621
-1130.519542,54,127.370877,-61.814986,-1130.519542
-958.365992,44,127.98725,-10.146399,-958.365992
-974.857947,45,128.608993,1042.125835,-974.857947
-1040.048157,46,129.210126,-6.299302,-1040.048157
-1137.53829,49,129.876452,30.202947,-1137.53829
-958.631247,40,130.371622,36.147866,-958.631247
-1015.671863,46,131.050756,0.535311,-1015.671863
-1065.978788,48,131.760129,-37.525271,-1065.978788
-1070.243309,58,132.673759,-138.336698,-1070.243309
-1086.536383,62,133.576052,-101.114748,-1086.536383
-961.955194,49,134.273074,-39.309648,-961.955194
-1047.267292,53,135.045404,-52.190495,-1047.267292
-1000.639454,48,135.735641,-21.749042,-1000.639454
-1217.325785,77,136.699265,-133.500516,-1217.325785
-1001.615176,45,137.277348,-2.570115,-1001.615176
-1128.002566,60,138.09716,-68.649454,-1128.002566
-1009.386056,39,138.591817,61.533047,-1009.386056
-1057.544505,58,139.379152,-69.345621,-1057.544505
-1202.227692,62,140.211033,-122.24933,-1202.227692
-1144.053983,65,141.077117,-113.458807,-1144.053983
-1132.435964,51,141.733239,15.953742,-1132.435964
-1196.082149,78,142.704789,-213.027084,-1196.082149
-1129.367012,64,143.53282,-68.697992,-1129.367012
-1092.806025,53,144.236157,-37.539648,-1092.806025
-1025.340663,50,144.896937,-8.656744,-1025.340663
-1086.039208,48,145.473581,-44.488579,-1086.039208
-1035.769944,47,146.076972,-48.468769,-1035.769944
-1030.279743,45,146.651411,-27.766288,-1030.279743
-1097.225891,56,147.357226,-55.756536,-1097.225891
-1139.659563,63,148.180703,-84.33124,-1139.659563
-1031.2868,43,148.70153,-22.291735,-1031.2868
-947.872961,50,149.687793,-30.360878,-947.872961
-1072.861887,51,150.411837,-89.135259,-1072.861887
-974.914492,46,150.980972,1.907629,-974.914492
-1072.647763,55,151.660385,-118.207753,-1072.647763
-1118.573323,83,152.685013,-234.478888,-1118.573323
-1087.638648,44,153.236945,73.941312,-1087.638648
-951.788698,40,153.72399,25.564885,-951.788698
-1093.28936,61,154.482364,-93.287745,-1093.28936
-1147.84845,62,155.256073,-165.994786,-1147.84845
-1213.547316,70,156.10559,-140.233908,-1213.547316
-950.644694,48,156.722549,-100.319092,-950.644694
