#{"t_start": 1636074516.4907537, "env_id": "multicomp/SumoHumans-v0"}
r,l,t,r0,r1
-1126.142696,58,41.577174,-106.428623,-1126.142696
-1032.613563,44,42.232136,75.583867,-1032.613563
-977.09637,41,42.828091,30.335542,-977.09637
-1268.950291,102,44.320811,-348.269094,-1268.950291
-981.868584,44,45.416055,3.283559,-981.868584
-1028.051681,42,46.066445,64.621708,-1028.051681
-1100.028595,52,46.92312,-61.745585,-1100.028595
-1102.135346,48,47.707571,28.445166,-1102.135346
-1063.180236,47,48.412512,2.164121,-1063.180236
