#{"t_start": 1638351791.082191, "env_id": "multicomp/SumoHumans-v0"}
r,l,t,r0,r1
-1082.202296,55,3.088157,927.191083,-1082.202296
-982.896769,43,3.557415,1040.31822,-982.896769
-1317.432686,59,4.212981,652.370922,-1317.432686
-983.079278,39,4.639131,1057.089925,-983.079278
-991.682076,39,5.047344,1025.361298,-991.682076
-1018.8657,54,5.607318,941.666402,-1018.8657
-1082.922661,71,6.337206,819.305628,-1082.922661
-1106.307904,64,7.008796,900.58683,-1106.307904
-994.987001,60,7.6434,925.241344,-994.987001
-1037.890354,57,8.259694,923.072406,-1037.890354
-964.33378,42,8.692959,1036.027037,-964.33378
-944.295195,39,9.089158,1054.281696,-944.295195
-1050.188416,57,9.684376,973.023707,-1050.188416
-951.646271,36,10.061522,1070.328957,-951.646271
-1069.595132,54,10.616327,916.87776,-1069.595132
-1080.979257,49,11.11562,1037.049366,-1080.979257
-1021.903304,37,11.478139,1063.717481,-1021.903304
-1053.889263,50,11.989828,948.799181,-1053.889263
-1010.633276,53,12.518836,1017.760642,-1010.633276
-1053.635113,52,13.013803,943.742182,-1053.635113
-1021.191887,38,13.401678,1042.307793,-1021.191887
-1094.213124,54,13.955539,907.684644,-1094.213124
-1018.833506,48,14.452425,1076.80973,-1018.833506
-1210.768502,72,15.146907,848.818086,-1210.768502
-1042.01591,50,15.636689,961.816479,-1042.01591
-1004.482863,47,16.090073,1029.193302,-1004.482863
-964.760447,37,16.466987,1025.20946,-964.760447
-1072.166952,55,16.982784,911.994023,-1072.166952
-3844.302117,60,17.583436,-1825.89324,-3844.302117
-1005.343916,50,18.106913,970.629265,-1005.343916
-1307.343527,89,19.004455,706.337463,-1307.343527
-1404.81722,83,19.828754,461.708967,-1404.81722
-960.80797,48,20.294463,1001.864495,-960.80797
-1032.922758,49,20.779926,986.796307,-1032.922758
-4061.276271,56,21.365736,-2060.528427,-4061.276271
-1057.990031,47,21.859359,1045.052749,-1057.990031
-1011.569861,49,22.370778,997.617202,-1011.569861
-1078.773413,50,22.947025,1116.376191,-1078.773413
-1287.177044,77,25.242066,819.49147,-1287.177044
-995.966382,47,25.949971,970.496537,-995.966382
-4437.441029,112,27.898062,-2492.905513,-4437.441029
-1075.089748,83,28.823393,761.135096,-1075.089748
-1005.186222,43,29.373344,1030.90916,-1005.186222
-1134.431866,55,30.073332,986.952396,-1134.431866
-976.501326,52,30.77643,975.679726,-976.501326
-1073.670713,49,31.472354,989.430883,-1073.670713
-958.278369,43,31.976398,1084.151442,-958.278369
-999.685785,42,32.521679,1029.970434,-999.685785
-1010.530757,43,33.045025,1011.372484,-1010.530757
-1278.40832,71,33.871773,830.023548,-1278.40832
-10184.1967,122,35.271902,-8130.045792,-10184.1967
-990.887037,38,35.695983,1046.917486,-990.887037
-1130.112641,63,36.403843,919.638767,-1130.112641
-2639.202621,68,37.271802,-602.019488,-2639.202621
-1023.588186,56,37.925872,905.341054,-1023.588186
-1041.374016,60,38.653874,1084.097697,-1041.374016
-2021.791888,56,39.343559,-80.619504,-2021.791888
-1092.252071,54,39.966923,880.321129,-1092.252071
-984.420066,42,40.48893,1007.093357,-984.420066
-1021.17911,50,41.0719,973.897386,-1021.17911
-1009.975109,38,41.501988,1032.891903,-1009.975109
-1393.382599,93,42.582874,681.049477,-1393.382599
-1050.675625,50,43.232049,988.5549,-1050.675625
-1042.870506,52,43.961388,983.810082,-1042.870506
-1210.18746,65,44.796797,1027.181197,-1210.18746
-1007.23091,41,45.373912,972.756886,-1007.23091
-1032.795955,49,46.021985,1034.46079,-1032.795955
-1012.582223,47,46.587275,1016.394015,-1012.582223
-1071.813532,51,47.227545,952.42362,-1071.813532
-1098.462154,58,47.91729,897.374873,-1098.462154
-2446.301697,109,49.298593,-412.245751,-2446.301697
-1116.287854,60,50.061435,939.566695,-1116.287854
-1085.260889,52,50.733323,978.586821,-1085.260889
-2293.964258,55,52.207251,-255.249529,-2293.964258
-1064.977251,49,52.831805,1001.330953,-1064.977251
-1006.8172,48,53.455764,980.381429,-1006.8172
-1277.941936,86,54.504954,793.351894,-1277.941936
-1034.386079,58,55.221353,872.80068,-1034.386079
-961.813279,41,55.73067,995.625667,-961.813279
-1008.931746,44,56.309369,1003.427922,-1008.931746
-1025.502117,44,56.811177,974.041799,-1025.502117
-3728.712921,86,57.871793,-1712.435873,-3728.712921
-1126.40616,55,58.589436,893.210563,-1126.40616
-1033.655395,44,59.208633,953.10333,-1033.655395
-1080.54744,51,60.115067,1024.993433,-1080.54744
-1063.827757,57,60.941616,955.833533,-1063.827757
-1079.162652,57,61.825354,942.851341,-1079.162652
-1083.610201,48,62.493423,1001.503158,-1083.610201
-1105.060987,58,63.193835,895.792468,-1105.060987
-3824.544425,58,63.882755,-1788.858634,-3824.544425
-1061.473097,52,64.541169,962.902137,-1061.473097
-1197.435919,65,65.373973,869.030772,-1197.435919
-1045.688693,55,65.999924,934.498929,-1045.688693
-995.5249,36,66.404797,1068.650972,-995.5249
-2999.730377,43,66.850261,-971.351308,-2999.730377
-1079.611869,50,67.389045,984.512965,-1079.611869
-1056.246022,49,67.921008,981.477966,-1056.246022
-994.793461,44,68.415606,1106.774404,-994.793461
-1140.270621,62,69.112519,961.229202,-1140.270621
-1037.549403,51,69.779234,934.835668,-1037.549403
-1120.661075,69,70.698086,999.127539,-1120.661075
-1132.623845,58,71.370577,1178.00427,-1132.623845
-1000.472078,40,71.870254,1022.62379,-1000.472078
-1073.694344,50,72.473111,956.700552,-1073.694344
-1016.598902,44,72.983061,978.026027,-1016.598902
-1019.451527,43,73.498387,1052.007308,-1019.451527
-1117.354925,56,74.185701,988.46754,-1117.354925
-1270.405158,69,75.030185,820.639871,-1270.405158
-1260.903179,72,75.899009,862.469099,-1260.903179
-1031.749882,49,76.517141,989.262138,-1031.749882
-1002.965147,47,77.090612,983.814494,-1002.965147
-1068.642084,51,78.302189,981.211225,-1068.642084
-1006.967211,38,78.761441,1030.687996,-1006.967211
-1131.798698,59,79.495969,869.332564,-1131.798698
-974.899794,36,79.924683,1031.801708,-974.899794
-1786.974241,51,80.556413,215.186147,-1786.974241
-1239.032513,66,81.362548,874.654043,-1239.032513
-1115.908174,51,81.956535,998.531333,-1115.908174
-1032.934437,40,82.403624,1064.990614,-1032.934437
-5025.892819,92,83.3922,-3004.982533,-5025.892819
-1056.726615,42,83.819659,980.821172,-1056.726615
-997.049667,41,84.264042,1015.85125,-997.049667
-1136.461681,62,85.013715,888.824457,-1136.461681
-1557.203288,112,86.29165,526.968092,-1557.203288
-1022.872283,41,86.873357,1045.209019,-1022.872283
-1041.248553,43,87.334901,1009.294645,-1041.248553
-1075.279002,55,87.945283,949.09598,-1075.279002
-959.186199,41,88.370804,1050.187831,-959.186199
-1172.886452,64,89.07599,960.6907,-1172.886452
-1004.925812,47,89.556047,970.986832,-1004.925812
-1414.418208,91,90.541491,633.229548,-1414.418208
-1142.244737,62,91.196678,888.691335,-1142.244737
-906.80054,75,92.017015,816.128372,-906.80054
-1218.26254,66,92.73555,869.543237,-1218.26254
-1017.229161,42,93.262163,1040.543877,-1017.229161
-1203.875348,69,94.037685,867.241556,-1203.875348
-1023.471446,49,94.615021,974.749542,-1023.471446
-1518.727775,53,95.278574,466.069026,-1518.727775
-1396.777652,84,96.216637,700.617898,-1396.777652
-1013.791419,40,96.664776,1101.47018,-1013.791419
-1166.864749,67,97.381011,759.273256,-1166.864749
-1006.22927,45,97.885019,990.700729,-1006.22927
-6018.688,89,98.877338,-4031.878918,-6018.688
-1144.900038,58,99.523448,1002.349494,-1144.900038
-1011.018831,43,99.994575,985.508353,-1011.018831
-992.264713,43,100.44166,1040.528219,-992.264713
-1083.29008,53,101.02581,956.447263,-1083.29008
-979.743517,43,101.850245,1031.266454,-979.743517
-1172.615662,64,102.533771,923.95903,-1172.615662
-1109.261868,52,103.11824,1080.61861,-1109.261868
-1051.804958,59,103.769375,935.486725,-1051.804958
-943.547317,50,104.335071,996.066021,-943.547317
-1015.451153,55,104.949552,908.992519,-1015.451153
-2657.510561,81,105.85922,-708.987912,-2657.510561
-1295.352726,85,106.778845,766.12305,-1295.352726
-1025.169919,41,107.206009,1106.793887,-1025.169919
-1038.359959,42,107.637221,1071.265476,-1038.359959
-925.363599,58,108.281688,890.685995,-925.363599
-1383.711053,88,109.222735,652.707049,-1383.711053
-996.223971,42,109.677424,1041.521452,-996.223971
-1217.148807,64,110.353678,855.009194,-1217.148807
-1088.382812,51,110.889119,947.076558,-1088.382812
-984.610323,38,111.308027,1095.639187,-984.610323
-1008.693238,44,111.758966,1033.019525,-1008.693238
-7862.39763,58,112.374225,-5864.364884,-7862.39763
-1035.479574,67,113.056258,849.045026,-1035.479574
-4626.828316,87,114.002361,-2704.011421,-4626.828316
-1046.93725,58,114.637052,893.534074,-1046.93725
-1237.856642,79,115.511482,815.965735,-1237.856642
-963.141847,36,115.982223,1019.575726,-963.141847
-1070.39979,51,116.591726,1093.570199,-1070.39979
-976.507988,38,116.997173,1049.309478,-976.507988
-1076.589572,51,117.558404,1042.547918,-1076.589572
-1178.258221,61,118.217538,981.298227,-1178.258221
-963.895455,44,118.687671,1032.519113,-963.895455
-1113.408976,58,119.355951,926.438775,-1113.408976
-1008.575598,45,119.861045,971.005943,-1008.575598
-950.168146,43,120.344624,1044.088554,-950.168146
-1049.485705,44,120.825888,1059.721482,-1049.485705
-1021.130943,45,121.403307,952.01349,-1021.130943
-1309.88896,82,122.309559,736.255764,-1309.88896
-1040.816443,47,122.837047,1010.693341,-1040.816443
-1010.763541,42,123.294599,1059.427489,-1010.763541
-950.675816,46,123.819581,986.898779,-950.675816
-1025.731871,51,124.710388,961.955515,-1025.731871
-1020.262055,53,125.347236,963.840296,-1020.262055
-1033.861684,47,125.920758,978.595723,-1033.861684
-1071.726058,53,126.572877,988.760639,-1071.726058
-1755.757883,46,127.160683,248.372926,-1755.757883
-960.286781,41,127.67959,1034.653048,-960.286781
-1180.855841,64,128.479795,876.922946,-1180.855841
-1038.592201,49,129.117513,989.113901,-1038.592201
-1042.776152,54,129.78964,955.422797,-1042.776152
-1088.797917,53,130.410292,982.281077,-1088.797917
-1189.266254,76,131.309438,844.617421,-1189.266254
-1084.303607,72,132.144913,806.183127,-1084.303607
-1037.783529,46,132.674212,1063.17411,-1037.783529
-1078.595673,57,133.371736,895.637306,-1078.595673
-993.415624,63,134.097387,892.279308,-993.415624
-1053.969178,55,134.736587,944.053055,-1053.969178
-1029.681038,47,135.271469,1004.460366,-1029.681038
-1083.529041,58,135.939535,932.167255,-1083.529041
-954.76642,39,136.410643,1017.859019,-954.76642
-931.105952,53,137.041124,966.485287,-931.105952
-1242.990109,69,137.867025,851.40917,-1242.990109
-1090.020773,61,138.606403,912.992468,-1090.020773
-991.519976,49,139.244391,964.06468,-991.519976
-985.357473,36,139.720808,1044.509038,-985.357473
-1004.353967,55,140.484881,902.213006,-1004.353967
-1018.311794,47,141.053508,993.2263,-1018.311794
-1059.534699,48,141.627134,959.48721,-1059.534699
-1028.872571,46,142.204625,1003.314531,-1028.872571
-1030.664315,62,142.975922,942.852985,-1030.664315
-992.20834,41,143.486373,1037.840349,-992.20834
-1084.940502,48,144.079492,995.107733,-1084.940502
-994.115174,47,144.673289,982.031432,-994.115174
-952.688499,37,145.137649,1016.587235,-952.688499
-1025.194224,44,145.660215,1013.456622,-1025.194224
-958.65926,40,146.152398,1050.305223,-958.65926
-1069.467905,46,146.77144,1028.77607,-1069.467905
-1157.12716,67,147.595649,886.595504,-1157.12716
-1155.052474,56,148.315179,976.266504,-1155.052474
-1248.088298,79,149.328732,844.271406,-1248.088298
-1405.438489,70,150.504202,589.184953,-1405.438489
-1130.984668,60,151.249394,952.119181,-1130.984668
-1204.980277,63,152.017091,882.342363,-1204.980277
-1147.790229,53,152.654687,956.839038,-1147.790229
