#{"t_start": 1638332519.8690786, "env_id": "multicomp/SumoAnts-v0"}
r,l,t,r0,r1
-928.343079,95,28.147877,1179.702504,-928.343079
719.323865,467,32.787764,-1337.500457,719.323865
-806.259978,180,34.50562,1408.889893,-806.259978
-758.696052,208,36.562217,1487.022302,-758.696052
-927.482803,198,38.441555,1229.675228,-927.482803
-228.498552,313,41.43559,1255.218359,-228.498552
-844.555664,165,43.211973,1251.164286,-844.555664
-951.336386,156,44.922088,1183.060266,-951.336386
-753.807859,137,46.23139,1351.410697,-753.807859
-1985.31612,42,46.6724,58.807558,-1985.31612
-2368.568697,171,48.99779,-289.635643,-2368.568697
-989.729958,159,50.468241,1200.970589,-989.729958
-959.872074,234,52.74015,1300.175038,-959.872074
-1620.651847,200,54.805705,569.770023,-1620.651847
-1159.599414,43,55.222335,879.843552,-1159.599414
-1356.905243,150,56.702429,810.439322,-1356.905243
-2251.260778,392,60.44086,-79.354705,-2251.260778
-1234.693577,226,62.582483,901.492429,-1234.693577
-859.828908,367,66.318328,1531.33497,-859.828908
-1677.06892,170,68.087124,437.897578,-1677.06892
-908.451809,162,70.584087,1288.963802,-908.451809
-1785.075107,262,74.062281,196.332281,-1785.075107
-938.407758,180,76.461955,1318.561349,-938.407758
-866.627287,114,77.860352,1278.931656,-866.627287
155.078,393,82.608515,2195.414066,155.078
-1188.205737,327,86.171887,1162.421451,-1188.205737
-757.546295,184,87.922966,1364.492018,-757.546295
-654.891461,153,89.519417,563.18627,-654.891461
-230.3264,500,94.483996,261.228701,-230.3264
-978.958576,311,97.637595,1134.398333,-978.958576
1474.347865,204,99.677962,-482.883846,1474.347865
-1308.924968,293,102.722014,1082.527122,-1308.924968
-2318.753347,176,104.519569,-181.807023,-2318.753347
-448.163193,228,106.624932,843.248003,-448.163193
-773.932043,102,107.563873,1318.23382,-773.932043
-260.501498,395,111.486971,1271.67851,-260.501498
-1079.151778,150,113.39274,1080.225211,-1079.151778
-2243.934204,167,114.98583,-53.156525,-2243.934204
-686.724601,110,116.066144,404.705107,-686.724601
-706.571747,125,117.497742,1378.868575,-706.571747
-1446.317912,233,119.917032,813.909239,-1446.317912
-1256.969904,162,121.663866,970.988191,-1256.969904
-546.579092,161,123.269078,668.106763,-546.579092
-1143.422258,109,124.424648,937.932202,-1143.422258
-1061.620936,49,124.875563,1012.128454,-1061.620936
325.056124,500,129.994103,647.832245,325.056124
-698.501458,234,132.312004,974.731984,-698.501458
-797.306168,221,134.909192,1335.68754,-797.306168
-1107.960061,199,137.266538,1015.917698,-1107.960061
-801.145679,140,138.679868,1339.59166,-801.145679
-1156.768012,322,142.106321,1101.216076,-1156.768012
-895.309595,118,143.718357,1287.06017,-895.309595
-1200.005561,190,146.187387,782.934811,-1200.005561
949.498928,48,146.818626,-1097.712146,949.498928
-735.112013,176,149.131577,611.065212,-735.112013
-1213.721263,143,150.878144,915.067469,-1213.721263
917.587928,53,151.453557,-1127.935428,917.587928
-337.073617,351,155.573349,923.57237,-337.073617
-678.644666,210,157.834192,1628.926482,-678.644666
-1171.828328,102,159.158113,807.132682,-1171.828328
-808.461298,114,160.276304,426.733882,-808.461298
-623.386702,200,162.412619,1522.136896,-623.386702
-810.592479,153,164.028497,1170.181599,-810.592479
-744.181133,263,166.77221,1671.157485,-744.181133
-877.683928,488,171.677357,1987.918923,-877.683928
-687.625325,134,172.955152,515.981434,-687.625325
-1159.338027,75,173.682815,938.482692,-1159.338027
-1087.529991,104,174.73185,990.303797,-1087.529991
-254.653618,330,177.639284,2225.641538,-254.653618
-894.234301,139,179.259485,1177.874506,-894.234301
405.511512,166,181.408457,-1472.829011,405.511512
-909.356382,397,185.074773,1655.281429,-909.356382
-1078.558788,340,188.347689,703.571166,-1078.558788
-1224.545687,217,190.522416,1056.176146,-1224.545687
-1411.951222,58,191.194669,609.36201,-1411.951222
-1202.193709,163,193.016952,949.358027,-1202.193709
-1401.10206,166,194.57914,753.78799,-1401.10206
-1172.007672,241,196.975586,1150.410338,-1172.007672
-1225.536294,114,198.237982,867.077054,-1225.536294
-777.902709,68,198.906941,269.508718,-777.902709
-522.254288,134,200.551132,454.396085,-522.254288
-1738.42252,197,202.803272,530.987565,-1738.42252
-1280.403343,130,204.183589,854.867662,-1280.403343
-409.450171,226,206.618426,916.480739,-409.450171
-535.442583,206,208.954685,821.508085,-535.442583
-1182.0721,39,209.474591,859.215286,-1182.0721
-760.591002,130,211.148251,433.427021,-760.591002
-245.254276,500,217.492663,197.818302,-245.254276
-699.621209,117,219.185945,396.981134,-699.621209
-1718.128369,159,221.33636,427.808482,-1718.128369
-1345.822315,113,222.848647,601.141779,-1345.822315
-756.912963,190,225.06815,1495.108714,-756.912963
-1079.347963,199,227.744452,1108.748353,-1079.347963
-1305.135012,183,229.856144,928.781434,-1305.135012
-1059.638358,209,232.051651,1154.869583,-1059.638358
-967.893056,148,233.52456,1084.815952,-967.893056
-907.142495,192,235.587105,1367.620292,-907.142495
-490.832067,211,237.731287,853.21794,-490.832067
-718.195349,123,238.92349,429.832269,-718.195349
-718.152002,122,240.132005,454.298702,-718.152002
-646.969842,206,242.167211,597.464699,-646.969842
-827.597097,90,243.09398,296.133825,-827.597097
-692.708805,245,245.477516,1600.452988,-692.708805
-810.045136,169,247.252865,1399.577165,-810.045136
-331.629937,268,250.046528,1154.293399,-331.629937
-947.998081,225,252.218933,1237.908833,-947.998081
-772.042471,104,253.371979,1284.93132,-772.042471
-1149.028347,150,255.068888,959.132763,-1149.028347
-849.12312,93,256.003381,273.691392,-849.12312
-1197.187556,178,257.875446,1043.33364,-1197.187556
-966.680003,219,260.393206,1289.654129,-966.680003
-2284.536697,500,266.688604,614.950821,-2284.536697
-1093.572526,181,268.90304,1247.289056,-1093.572526
-834.821821,264,273.021825,1641.599538,-834.821821
-871.123712,306,277.614802,1605.936005,-871.123712
-1782.326207,299,281.474365,553.924974,-1782.326207
-1320.405402,193,283.599969,845.321796,-1320.405402
-793.772013,107,284.816252,360.010896,-793.772013
-39.78375,378,288.808958,1489.035865,-39.78375
-1229.609976,111,289.974333,879.070326,-1229.609976
-862.310564,139,291.38739,1242.215607,-862.310564
-2452.683704,128,292.690848,-356.076809,-2452.683704
-1345.583724,224,294.990444,852.37094,-1345.583724
-261.638885,428,299.467612,2143.10083,-261.638885
-1170.977126,112,300.62493,940.324758,-1170.977126
-1024.698447,240,303.218548,1221.69303,-1024.698447
-1019.241822,200,305.344528,1250.066285,-1019.241822
-1948.835929,259,307.778264,475.166382,-1948.835929
-804.905883,80,308.65141,217.916249,-804.905883
-873.069664,231,311.023026,1359.845615,-873.069664
-1063.282366,42,311.461262,967.38805,-1063.282366
-1315.214807,156,313.457967,909.440657,-1315.214807
-751.21219,133,315.103317,430.46528,-751.21219
-1140.140087,484,321.701988,1491.078472,-1140.140087
