#{"t_start": 1638323069.1058934, "env_id": "multicomp/YouShallNotPassHumans-v0"}
r,l,t,r0,r1
-1238.644668,38,1.329274,1094.425453,-1238.644668
-1252.031166,51,1.737002,1142.144265,-1252.031166
-1364.856935,44,2.128839,1124.942549,-1364.856935
-1451.026897,56,2.627782,1152.637027,-1451.026897
-1391.456156,64,3.109602,1190.474113,-1391.456156
-1190.515646,35,3.367273,1092.466407,-1190.515646
-1293.314765,50,3.73612,1131.163596,-1293.314765
-1310.040297,44,4.069769,1101.90608,-1310.040297
-1398.705661,61,4.539084,1179.135447,-1398.705661
-1221.514067,38,4.822109,1110.008822,-1221.514067
-1316.697346,55,5.242531,1153.13327,-1316.697346
-1634.806803,72,5.786956,1219.733415,-1634.806803
-1688.641636,79,6.428041,1095.956961,-1688.641636
-1348.858399,53,6.834438,1157.663531,-1348.858399
-1357.344289,61,7.280297,1166.228539,-1357.344289
-1294.715871,51,7.650476,1128.02273,-1294.715871
-1228.073238,40,7.955494,1113.517001,-1228.073238
-1322.372577,44,8.319225,1099.695189,-1322.372577
-1217.001151,41,8.649495,1097.255823,-1217.001151
-1390.911239,71,9.326623,1211.074232,-1390.911239
-1320.728465,49,9.742907,1135.810807,-1320.728465
-1359.661531,58,10.218415,1173.742393,-1359.661531
-1292.020075,42,10.549182,1120.340007,-1292.020075
-1568.678076,69,11.117325,1181.140581,-1568.678076
-1345.411252,53,11.522574,1153.863601,-1345.411252
-1639.735202,81,12.156967,1235.417124,-1639.735202
-1384.849135,52,12.561218,1091.156724,-1384.849135
-1203.28267,42,12.869689,1112.560952,-1203.28267
-1182.809246,42,13.26128,1125.096225,-1182.809246
-1430.883542,56,13.682336,1128.588982,-1430.883542
-1565.701743,66,14.173172,1171.238206,-1565.701743
-1280.530845,42,14.484539,1125.293694,-1280.530845
-1341.243328,65,14.977655,1194.150034,-1341.243328
-1708.339142,81,15.600679,1223.514413,-1708.339142
-1517.480933,60,16.058737,1164.3681,-1517.480933
-1452.666137,65,16.543414,1193.394123,-1452.666137
-1866.273913,92,17.65958,-46.410956,-1866.273913
-1650.325624,73,18.195679,1047.629379,-1650.325624
-1333.517492,53,18.606024,1149.767691,-1333.517492
-1543.576641,76,19.168907,1115.494366,-1543.576641
-1417.999146,51,19.598216,1153.850537,-1417.999146
-1255.857652,51,19.979211,1139.648229,-1255.857652
-1428.156926,51,20.373291,1144.423815,-1428.156926
-1311.750857,44,20.728065,1115.744577,-1311.750857
-1710.611249,88,21.440522,-0.271763,-1710.611249
-1849.184827,92,22.115837,1262.016449,-1849.184827
-1425.845154,55,22.511771,1147.849587,-1425.845154
-1281.044402,39,22.790342,1099.813596,-1281.044402
-1398.808421,55,23.195503,1159.827148,-1398.808421
-1380.662708,56,23.612705,1148.929291,-1380.662708
-1443.745497,53,23.980802,1136.608917,-1443.745497
-1360.558773,59,24.444398,1159.877654,-1360.558773
-1736.772719,81,25.039713,1223.591224,-1736.772719
-1361.464033,45,25.365738,1126.58839,-1361.464033
-1410.978797,51,25.762642,1150.83821,-1410.978797
-1464.459239,60,26.197263,1074.869403,-1464.459239
-1339.665857,43,26.50134,1108.683417,-1339.665857
-1239.226694,49,26.864096,1129.016795,-1239.226694
-1713.169313,93,27.529054,898.445579,-1713.169313
-1362.966559,55,27.91217,1156.584074,-1362.966559
-1287.502719,49,28.295938,1150.557717,-1287.502719
-1525.402298,78,28.885372,1234.653696,-1525.402298
-1528.369229,63,29.346056,1150.381199,-1528.369229
-1414.865708,55,29.764724,1157.40932,-1414.865708
-1312.869094,53,30.155433,1160.568537,-1312.869094
-1187.598537,39,30.433486,1121.334127,-1187.598537
-1302.20456,41,30.735962,1110.703283,-1302.20456
-1357.346829,52,31.126461,1161.376662,-1357.346829
-1807.676051,95,31.863729,11.935979,-1807.676051
-1277.195823,47,32.202316,1133.053599,-1277.195823
