#{"t_start": 1636778899.3721573, "env_id": "multicomp/SumoHumans-v0"}
r,l,t,r0,r1
-995.135842,41,25.359868,11.964801,-995.135842
-967.864659,40,25.794715,39.504326,-967.864659
-981.092583,38,26.19529,50.796307,-981.092583
-970.060105,43,26.628737,23.008368,-970.060105
-1094.808938,62,27.454809,-129.475043,-1094.808938
-1013.023394,39,27.875813,58.610212,-1013.023394
-1243.788697,73,28.668344,-116.529978,-1243.788697
-1070.038943,45,29.214899,-8.338218,-1070.038943
-1102.345337,60,30.060018,-117.85464,-1102.345337
-1227.375641,80,30.897491,-205.904684,-1227.375641
-1074.59292,57,31.514747,-117.348307,-1074.59292
-1070.274065,51,32.28389,-45.959243,-1070.274065
-972.51128,40,32.733618,24.740927,-972.51128
-1006.51899,39,33.133614,24.521277,-1006.51899
-1008.931128,41,33.609707,41.214101,-1008.931128
-974.503032,41,34.125168,44.404049,-974.503032
-1031.108686,46,34.753608,-24.650088,-1031.108686
-976.365281,41,35.435458,13.452052,-976.365281
-1443.941572,98,36.881508,-286.173397,-1443.941572
-1090.44183,46,37.490602,56.781347,-1090.44183
-963.683108,39,37.947489,30.496803,-963.683108
-1123.067074,66,38.888753,892.187723,-1123.067074
-1075.532621,50,39.401716,48.582495,-1075.532621
-971.70208,41,39.863551,83.110142,-971.70208
-952.436079,39,40.295264,43.805872,-952.436079
-1141.121395,67,41.179259,909.03481,-1141.121395
-1146.860659,58,41.857299,-71.024611,-1146.860659
-967.426716,57,42.62859,-151.12843,-967.426716
-1022.366315,50,43.318917,-35.99565,-1022.366315
-1043.262349,49,44.199087,-16.811148,-1043.262349
-991.578289,41,44.82049,63.344848,-991.578289
-1171.440318,59,45.609703,177.960832,-1171.440318
-1061.128433,59,46.424855,-48.242376,-1061.128433
-1444.247714,92,47.829935,-278.466811,-1444.247714
-1077.900755,63,48.736262,938.914401,-1077.900755
-1023.749614,40,49.285185,48.824336,-1023.749614
-998.008063,48,50.186612,1005.200595,-998.008063
-1193.324356,75,51.335782,849.949833,-1193.324356
-1053.67492,58,53.424534,939.11431,-1053.67492
-1422.661514,114,55.118119,620.604937,-1422.661514
-1114.412645,53,55.91522,-80.561265,-1114.412645
-949.813183,52,56.94083,-67.27507,-949.813183
-1129.028247,77,58.136342,796.588944,-1129.028247
-1073.074022,52,58.958062,-47.198517,-1073.074022
-1264.144975,88,60.687251,730.205106,-1264.144975
-1140.951207,59,61.631393,-69.964603,-1140.951207
-1218.279767,67,62.739935,-117.054973,-1218.279767
-1013.549786,43,63.490533,-10.756199,-1013.549786
-1038.587569,52,64.607279,-43.446324,-1038.587569
-1122.202701,63,65.751466,-109.076197,-1122.202701
-1110.390662,59,66.733612,-93.267839,-1110.390662
-1062.935595,47,67.76642,-26.17319,-1062.935595
-1036.870751,45,68.582932,-10.612219,-1036.870751
-1023.774327,62,69.699053,-103.981963,-1023.774327
-967.319575,36,70.329767,81.132789,-967.319575
-1096.436029,58,71.619062,-110.024646,-1096.436029
-1176.252256,56,72.607256,-47.807155,-1176.252256
-1164.088447,56,73.543819,-54.826601,-1164.088447
-1095.89233,68,74.960023,-147.97639,-1095.89233
-1097.325427,53,75.845927,-53.19409,-1097.325427
-1141.773159,57,76.767453,-40.549579,-1141.773159
-1168.02483,75,78.328044,859.210901,-1168.02483
-1089.591454,55,79.371319,-63.4918,-1089.591454
-1200.497743,64,80.432713,-122.198217,-1200.497743
-1073.96963,51,81.486386,-13.115765,-1073.96963
-1173.767505,72,82.655274,848.15801,-1173.767505
-1013.406923,38,83.236504,49.742256,-1013.406923
-1007.843075,46,83.939446,-64.880998,-1007.843075
-976.808507,61,85.143957,929.043148,-976.808507
-947.275678,35,85.682947,32.963074,-947.275678
-1018.375993,49,86.401354,-43.399679,-1018.375993
-1012.48988,55,87.313884,38.780839,-1012.48988
-1025.973005,40,88.142509,51.444412,-1025.973005
-1240.603012,72,89.743226,-152.815556,-1240.603012
-1025.423809,41,90.312887,92.268907,-1025.423809
-1026.167809,48,90.988929,7.840833,-1026.167809
-1146.962233,55,92.067331,-51.649939,-1146.962233
-1086.712448,64,92.95979,-156.81706,-1086.712448
-1159.794184,66,93.920064,-160.337544,-1159.794184
-1003.532858,44,94.734038,17.902077,-1003.532858
-1044.000385,47,95.406432,40.80033,-1044.000385
-951.687932,37,95.952105,23.235574,-951.687932
-969.015553,37,96.473444,-12.2263,-969.015553
-1253.403382,67,97.530628,-190.100846,-1253.403382
-1200.177819,68,98.631939,-148.973566,-1200.177819
-1224.320817,74,99.742427,-177.686317,-1224.320817
-983.039663,39,100.336517,54.867108,-983.039663
-1234.662444,65,101.518064,-71.690134,-1234.662444
-975.335973,56,102.352561,-96.471108,-975.335973
-1116.716919,65,103.26798,847.46245,-1116.716919
-1119.20969,65,104.429473,-96.269482,-1119.20969
-969.783253,39,105.02052,19.990611,-969.783253
-1085.140371,51,105.781274,-32.370752,-1085.140371
-1138.954381,62,106.719243,-115.618187,-1138.954381
-1191.155902,64,107.81023,-69.467694,-1191.155902
-1150.748746,70,108.863073,-149.580845,-1150.748746
