#{"t_start": 1638351708.9041133, "env_id": "multicomp/SumoHumans-v0"}
r,l,t,r0,r1
-1015.514583,41,2.021388,1046.88763,-1015.514583
-1399.570273,95,2.894678,691.310667,-1399.570273
-1124.801998,57,3.416977,935.758504,-1124.801998
-959.806896,44,3.805501,1031.751884,-959.806896
-1006.804844,48,4.242331,970.482671,-1006.804844
-1068.192676,56,4.71716,877.276061,-1068.192676
-993.864755,40,5.066536,1003.951196,-993.864755
-1026.709601,48,5.506571,982.773425,-1026.709601
-1298.893094,77,6.170953,687.040743,-1298.893094
-1176.541391,61,6.723276,885.899745,-1176.541391
-1168.058191,57,7.193383,876.133424,-1168.058191
-1123.689132,63,7.742525,923.392504,-1123.689132
-1131.993879,59,8.251286,907.967188,-1131.993879
-952.61367,56,8.740319,932.579218,-952.61367
-1151.836033,63,9.260913,897.432727,-1151.836033
-6516.50971,90,10.086433,-4499.815767,-6516.50971
-1015.938198,53,10.563569,963.185248,-1015.938198
-4456.261577,76,11.239029,-2442.759801,-4456.261577
-1125.796357,65,11.818078,893.652425,-1125.796357
-1009.662162,45,12.216637,1048.023561,-1009.662162
-1066.88717,50,12.659291,927.106072,-1066.88717
-953.071745,40,13.010445,1054.189703,-953.071745
-964.389628,38,13.35515,1029.760329,-964.389628
-988.351391,47,13.78478,994.400077,-988.351391
-1085.964303,45,14.174029,1028.211452,-1085.964303
-1139.235964,65,14.761974,932.649212,-1139.235964
-1193.220847,70,15.441986,832.15572,-1193.220847
-1205.547035,68,16.165661,895.510036,-1205.547035
-1098.518034,56,16.663536,913.864953,-1098.518034
-1127.39458,52,17.11272,905.180376,-1127.39458
-2846.702665,60,17.657356,-841.857203,-2846.702665
-1071.832062,50,18.118775,949.460801,-1071.832062
-1107.348652,54,18.643829,982.946196,-1107.348652
-1115.745111,62,19.224825,880.74662,-1115.745111
-1161.237878,55,19.821808,1016.29791,-1161.237878
-1018.225909,45,20.741189,991.655597,-1018.225909
-1077.599933,53,21.23196,910.529639,-1077.599933
-1020.866153,47,21.666868,977.121129,-1020.866153
-1089.178301,72,22.350428,856.316054,-1089.178301
-979.268436,44,22.797528,1011.679101,-979.268436
-1336.201726,84,23.584029,937.584976,-1336.201726
-1236.005585,76,24.274847,784.669601,-1236.005585
-1357.790613,81,25.003618,724.090579,-1357.790613
-956.69049,41,25.372137,1027.191271,-956.69049
-973.152684,45,25.7544,994.867955,-973.152684
-1707.900112,41,26.10621,297.630641,-1707.900112
-1572.756592,54,26.574326,467.343725,-1572.756592
-1088.110344,59,27.089906,921.790776,-1088.110344
-1231.817242,45,27.504349,766.728752,-1231.817242
-4446.280006,78,28.183783,-2414.151357,-4446.280006
-1244.721189,74,28.908917,813.105242,-1244.721189
-998.858565,37,29.261874,1048.993608,-998.858565
-1049.365765,48,29.771665,983.572273,-1049.365765
-1054.320436,48,30.209433,1015.541961,-1054.320436
-1100.797433,53,30.747738,979.109323,-1100.797433
-1086.86046,65,31.391496,879.818837,-1086.86046
-1148.646189,67,32.002177,898.714782,-1148.646189
-1028.197775,36,32.31541,1031.828948,-1028.197775
-1040.765681,53,32.848427,912.959406,-1040.765681
-1240.450833,67,33.585332,901.17044,-1240.450833
-981.952807,40,34.007087,1083.890552,-981.952807
-995.077567,41,34.425131,1024.301711,-995.077567
-1092.537638,58,34.980626,984.328582,-1092.537638
-988.119888,42,35.358495,1029.504477,-988.119888
-1035.076189,46,35.762649,980.298987,-1035.076189
-999.421661,43,36.146774,965.704112,-999.421661
-1070.881128,51,36.605956,966.64952,-1070.881128
-1270.049438,73,37.259938,959.696883,-1270.049438
-2764.300028,84,38.016328,-827.586209,-2764.300028
-955.741809,39,38.380588,1069.150249,-955.741809
-1147.983974,56,38.864237,892.742895,-1147.983974
-1199.384268,72,39.516463,835.36694,-1199.384268
-1046.559412,56,40.292988,931.809961,-1046.559412
-1162.037114,63,40.865922,811.173091,-1162.037114
-960.597134,44,41.275072,1005.60818,-960.597134
-2549.902461,90,42.080775,-519.553429,-2549.902461
-1107.382733,56,42.582545,928.688054,-1107.382733
-1138.276372,53,43.060899,960.931501,-1138.276372
-1027.868801,49,43.492707,996.835375,-1027.868801
-1159.440968,65,44.05095,898.449426,-1159.440968
-952.67581,37,44.363401,1056.626373,-952.67581
-1405.367627,90,45.156769,663.441604,-1405.367627
-1055.249612,55,45.622519,908.505365,-1055.249612
-969.195045,39,45.949881,1081.136451,-969.195045
-1253.226064,68,46.542618,886.84477,-1253.226064
-1049.849781,56,47.024097,1098.627516,-1049.849781
-962.561907,38,47.373012,1031.354673,-962.561907
-1152.779821,62,47.890685,899.127849,-1152.779821
-1063.727177,49,48.309499,984.83245,-1063.727177
-976.941386,42,48.650934,1138.926614,-976.941386
-1080.603964,45,49.024768,934.061243,-1080.603964
-1028.932867,52,49.458963,979.667622,-1028.932867
-1119.850539,55,49.908818,923.879399,-1119.850539
-1807.510715,57,50.401343,185.756878,-1807.510715
-1222.209658,73,51.022696,822.194592,-1222.209658
-1079.886029,61,51.546029,914.962533,-1079.886029
-1062.997411,53,51.988336,994.987494,-1062.997411
-1044.722929,52,52.419856,1042.697445,-1044.722929
-1008.794063,35,52.714513,1092.301552,-1008.794063
-1108.350388,60,53.224345,890.691025,-1108.350388
-1217.393412,69,53.822937,897.400171,-1217.393412
-1185.471456,73,54.457746,837.474843,-1185.471456
-1084.742298,56,54.915863,864.648078,-1084.742298
-1076.653075,55,55.382442,922.884232,-1076.653075
-1049.401462,41,55.724648,1011.912193,-1049.401462
-1139.691071,55,56.220684,950.27395,-1139.691071
-1085.660567,54,56.706077,941.310887,-1085.660567
-1527.677015,51,57.165174,475.895226,-1527.677015
-1099.55591,53,57.629153,890.11972,-1099.55591
