#{"t_start": 1635374650.7597518, "env_id": "multicomp/SumoHumans-v0"}
r,l,t,r0,r1
-1043.38649,55,6.648813,955.853075,-1043.38649
-1089.086063,54,7.53146,-11.066885,-1089.086063
-1021.778337,45,8.285129,8.649422,-1021.778337
-1060.486873,50,9.118139,-71.21995,-1060.486873
-1109.208943,54,10.007841,-84.249923,-1109.208943
-1035.24757,49,10.852932,-28.673113,-1035.24757
-963.681334,46,11.670568,15.965092,-963.681334
-975.284192,37,12.325217,109.152531,-975.284192
-946.022271,57,13.344414,-82.780738,-946.022271
-1020.708977,48,14.343356,-37.753663,-1020.708977
-1070.653039,58,15.302674,-21.583625,-1070.653039
-1051.630559,55,16.227433,-90.032721,-1051.630559
-1202.316891,70,17.392402,-120.493534,-1202.316891
-933.864587,37,17.93192,45.968938,-933.864587
-976.560963,53,18.718537,6.59816,-976.560963
-1011.117458,45,19.480216,-7.305759,-1011.117458
-1012.744585,50,20.308813,987.463683,-1012.744585
-1024.186048,53,21.228005,-30.286232,-1024.186048
-1137.014362,58,22.258524,33.885327,-1137.014362
-1064.765252,57,23.234285,-62.667061,-1064.765252
-1051.691971,50,23.970221,-34.675269,-1051.691971
-1172.695326,64,25.054155,-158.711236,-1172.695326
-1108.871806,57,26.01727,-81.58317,-1108.871806
-986.681342,38,26.64304,41.662612,-986.681342
-990.283912,61,27.663363,17.674974,-990.283912
-1050.021949,45,28.448222,107.912811,-1050.021949
-966.404293,39,29.055534,27.635831,-966.404293
-1049.508407,49,29.808269,2.575908,-1049.508407
-1000.225238,42,30.451057,49.405225,-1000.225238
-950.925994,39,31.037607,20.785588,-950.925994
-1194.103198,65,32.103918,-62.02192,-1194.103198
-1099.691856,58,32.990871,-77.305296,-1099.691856
-1045.32008,53,33.80665,-78.071297,-1045.32008
-974.382399,39,34.439739,29.491326,-974.382399
-1272.771194,85,35.802428,760.707578,-1272.771194
-1052.821687,55,36.668005,965.570563,-1052.821687
-1102.411758,57,37.578883,1.88526,-1102.411758
-1134.890554,59,38.471323,-133.18304,-1134.890554
-1070.755269,49,39.241671,-84.885468,-1070.755269
-1119.942859,63,41.464347,-98.857282,-1119.942859
-1021.562865,49,42.680427,-23.778166,-1021.562865
-1001.387555,48,43.721217,-8.721166,-1001.387555
-1011.952277,46,44.606437,-18.515379,-1011.952277
-973.166894,38,45.331931,10.755663,-973.166894
-1006.050582,39,46.171406,16.581587,-1006.050582
-1142.046414,61,47.375933,-124.957793,-1142.046414
-1001.426126,45,48.293566,7.434178,-1001.426126
-1020.424191,52,49.262344,-75.544712,-1020.424191
-953.806755,39,50.015194,30.192123,-953.806755
-972.125893,41,50.722329,81.607826,-972.125893
-1067.524067,51,51.746972,-57.166885,-1067.524067
-1056.198948,50,52.68734,-98.026237,-1056.198948
-1313.73966,86,54.271596,-311.519976,-1313.73966
-1019.177759,47,55.297474,-9.885319,-1019.177759
-1009.181525,43,56.356398,44.665167,-1009.181525
-1084.148802,46,57.518203,20.581782,-1084.148802
-1234.863491,71,59.272148,-180.085588,-1234.863491
-1102.006439,46,60.407104,38.167187,-1102.006439
-1261.395888,71,62.059951,-77.300893,-1261.395888
-970.500504,37,62.899042,91.90596,-970.500504
-1753.45608,130,65.983432,-468.073872,-1753.45608
-978.247762,39,66.864268,17.625764,-978.247762
-1332.254794,105,68.862001,630.42529,-1332.254794
-992.007384,52,69.814265,158.071918,-992.007384
-989.831444,58,70.835331,-86.537473,-989.831444
-1075.313913,56,71.864876,-54.132923,-1075.313913
-1021.216415,44,72.85371,138.863239,-1021.216415
-1019.75595,43,73.769486,53.676939,-1019.75595
-1000.511826,46,74.693044,33.635842,-1000.511826
-1137.258078,54,75.742725,-109.345241,-1137.258078
-994.504203,42,76.418934,61.274252,-994.504203
-960.64748,40,77.044398,131.437135,-960.64748
-1162.721873,67,78.140243,-184.641353,-1162.721873
-992.570916,40,78.84244,5.05002,-992.570916
-1035.595212,46,79.603889,10.662378,-1035.595212
-967.67201,40,80.355737,47.966598,-967.67201
-990.054731,48,81.128209,14.964745,-990.054731
-978.697775,42,81.790408,58.694601,-978.697775
-1123.809992,63,83.315689,-121.562747,-1123.809992
-1131.138235,67,84.403306,-113.580979,-1131.138235
-1008.650716,39,85.086118,74.929988,-1008.650716
-1157.609295,62,86.070936,-65.950689,-1157.609295
-1007.626985,42,86.761268,58.038142,-1007.626985
-1102.790108,55,87.766972,-47.141883,-1102.790108
-1095.60872,58,88.973191,-83.782647,-1095.60872
-1194.379818,67,90.677468,-170.307583,-1194.379818
-967.960312,41,91.555228,-2.241775,-967.960312
-1279.94521,80,93.112179,-180.789536,-1279.94521
-1131.677952,50,94.093617,13.974135,-1131.677952
-1018.816594,37,94.861529,61.403013,-1018.816594
-1049.918216,48,95.751133,-23.009212,-1049.918216
-1113.89255,60,96.900563,-96.943728,-1113.89255
-1260.543274,71,98.167299,-120.45666,-1260.543274
-979.214293,40,98.910182,35.814799,-979.214293
-1032.25019,49,99.788565,33.995528,-1032.25019
-1112.820588,72,101.101197,-153.391547,-1112.820588
-1126.933004,64,102.408078,922.416465,-1126.933004
-1032.95513,45,103.26049,10.952506,-1032.95513
-1016.474639,48,104.240459,-26.180333,-1016.474639
-1069.948038,45,104.994515,8.85972,-1069.948038
-1030.069916,53,105.859577,966.822554,-1030.069916
-1049.666599,44,106.609521,53.206351,-1049.666599
-988.239443,42,107.337067,-7.112813,-988.239443
-962.291191,58,108.365428,-93.413353,-962.291191
-1124.718643,61,109.50371,-54.133784,-1124.718643
-1002.482335,43,110.256912,5.917443,-1002.482335
-1358.235001,85,111.823841,-181.408597,-1358.235001
-1117.199453,65,113.035349,-152.420352,-1117.199453
-1016.351821,52,113.947283,-31.244691,-1016.351821
-1044.191907,44,114.868636,-8.223022,-1044.191907
