#{"t_start": 1638351549.0499852, "env_id": "multicomp/SumoHumans-v0"}
r,l,t,r0,r1
-1288.490738,54,1.729435,711.265039,-1288.490738
-1069.377539,53,2.196544,997.458437,-1069.377539
-995.29308,42,2.542484,1027.415139,-995.29308
-1068.472628,50,2.952897,929.061004,-1068.472628
-994.012531,40,3.296569,1001.563022,-994.012531
-1269.917824,76,3.955482,815.76399,-1269.917824
-4231.665093,115,4.92996,-2105.443303,-4231.665093
-978.060849,46,5.31838,1055.949857,-978.060849
-1027.996823,53,5.80221,932.404211,-1027.996823
-1076.58856,56,6.304197,920.989852,-1076.58856
-980.575655,40,6.663267,1068.714099,-980.575655
-967.966609,40,7.052993,1032.680179,-967.966609
-1006.425633,39,7.405017,1042.509659,-1006.425633
-1067.857167,56,7.920552,928.33903,-1067.857167
-3006.991269,86,8.692847,-940.682155,-3006.991269
-994.362431,43,9.079198,1008.781207,-994.362431
-4919.521838,58,9.631219,-3058.625678,-4919.521838
-1054.939531,53,10.101703,942.235234,-1054.939531
-1262.858064,74,10.787753,945.263733,-1262.858064
-1107.408685,62,11.329002,907.522584,-1107.408685
-989.121195,42,11.708088,1009.88412,-989.121195
-1010.869128,43,12.104899,997.261877,-1010.869128
-1033.384843,45,12.51791,956.999774,-1033.384843
-1028.586284,49,12.957782,960.490015,-1028.586284
-990.001756,46,13.392898,980.865908,-990.001756
-1008.955896,40,13.739215,1091.514296,-1008.955896
-1113.977202,61,14.323383,914.641338,-1113.977202
-1075.777563,52,14.809377,985.691728,-1075.777563
-1207.689822,67,15.404343,958.061733,-1207.689822
-1023.724683,47,15.846441,973.70075,-1023.724683
-1017.10911,43,16.239704,1119.204978,-1017.10911
-973.89903,38,16.584023,1116.891785,-973.89903
-1121.13588,64,17.150323,871.760499,-1121.13588
-1056.197408,52,17.598546,928.702622,-1056.197408
-8283.1587,92,18.411929,-6261.64287,-8283.1587
-1163.264154,70,19.01911,883.016406,-1163.264154
-1092.463557,57,19.520241,1043.796763,-1092.463557
-1083.589797,51,20.346907,919.940575,-1083.589797
-1238.486473,71,20.968116,752.160769,-1238.486473
-1096.568804,54,21.445441,957.786738,-1096.568804
-2235.958787,80,22.151169,-217.259136,-2235.958787
-4604.762518,64,22.703712,-2603.89429,-4604.762518
-1003.940074,47,23.120367,972.396555,-1003.940074
-1184.337039,71,23.7478,818.334967,-1184.337039
-1001.809913,41,24.105618,1019.787862,-1001.809913
-1010.540673,46,24.480804,1035.280933,-1010.540673
-947.134393,39,24.818738,1027.449671,-947.134393
-1037.269875,48,25.231523,948.78851,-1037.269875
-995.862234,42,25.616441,1010.270172,-995.862234
-975.757066,38,25.92061,1052.844254,-975.757066
-1032.115978,45,26.313096,1127.378839,-1032.115978
-1047.891189,50,26.745801,905.291276,-1047.891189
-1047.487557,46,27.134747,1100.445059,-1047.487557
