#{"t_start": 1635362808.9624703, "env_id": "multicomp/SumoHumans-v0"}
r,l,t,r0,r1
-1032.868453,46,58.02792,4.959197,-1032.868453
-1058.946596,47,58.549972,32.881316,-1058.946596
-972.916195,43,58.992372,41.260439,-972.916195
-947.023919,63,59.674247,-100.185617,-947.023919
-1153.176355,72,60.54591,-125.234585,-1153.176355
-1080.772516,49,61.155925,-62.553027,-1080.772516
-1089.87373,56,61.79668,-52.041735,-1089.87373
-982.421657,37,62.204579,92.048087,-982.421657
-1089.873634,57,63.03913,-91.92462,-1089.873634
-1065.762388,52,63.760606,13.525876,-1065.762388
-1066.098479,47,64.409191,-0.733744,-1066.098479
-1195.904478,60,65.241079,24.970463,-1195.904478
-996.502159,44,65.848821,4.877204,-996.502159
-1350.978869,85,66.926837,-239.62091,-1350.978869
-994.257885,47,67.457025,-27.044252,-994.257885
-994.468644,47,68.013047,64.202778,-994.468644
-1036.757164,53,68.749231,972.509878,-1036.757164
-1127.593047,65,69.622416,-71.931621,-1127.593047
-1185.34156,81,70.653061,771.369608,-1185.34156
-1098.540182,49,71.404285,-41.732021,-1098.540182
-1175.045192,73,72.477546,828.153433,-1175.045192
-1120.882514,54,73.258028,-6.898821,-1120.882514
-1077.618139,61,74.107839,-68.340789,-1077.618139
-1074.335547,52,74.904145,-101.813908,-1074.335547
-966.939059,42,75.387487,-3.909955,-966.939059
-1053.397507,46,75.908433,-29.768529,-1053.397507
-1063.303536,52,76.490283,-46.824092,-1063.303536
-1313.819848,82,77.400388,741.771676,-1313.819848
-1333.263446,93,78.465561,-266.97407,-1333.263446
-1356.156884,93,79.58331,-340.660284,-1356.156884
-953.088115,37,80.083862,38.138609,-953.088115
-1046.178652,56,80.864254,-53.984552,-1046.178652
-1111.850813,49,81.576008,7.911769,-1111.850813
-1159.468968,60,82.432185,-140.037618,-1159.468968
-1048.503801,49,83.107269,61.768948,-1048.503801
-967.324314,37,83.627995,28.832927,-967.324314
-1044.810242,54,84.880643,-97.3575,-1044.810242
-1139.55271,60,85.575212,-97.725429,-1139.55271
-1053.609106,44,86.055313,35.534775,-1053.609106
-1092.111563,47,86.591322,-57.087849,-1092.111563
-1050.632104,50,87.138147,-35.246524,-1050.632104
-1053.597912,59,87.805965,-12.077949,-1053.597912
-1022.080782,51,88.493818,-84.39766,-1022.080782
-985.89962,40,89.093789,0.491135,-985.89962
-1124.272736,50,89.837654,-77.723816,-1124.272736
-977.507497,49,90.563133,-43.695381,-977.507497
-1110.591101,65,91.462804,-121.98716,-1110.591101
-1002.222526,44,92.077067,1048.624686,-1002.222526
-1079.317505,53,92.734277,-86.139542,-1079.317505
-1014.160233,53,93.325951,-55.431759,-1014.160233
-1010.159521,39,93.777237,52.387086,-1010.159521
-985.459248,42,94.244689,-13.025565,-985.459248
-1099.845187,55,94.868819,-55.686404,-1099.845187
-1109.885562,59,95.64191,-102.966236,-1109.885562
-1151.510817,64,96.411906,27.021002,-1151.510817
-1197.395967,74,97.479766,-145.519935,-1197.395967
-1120.417174,64,98.380241,-95.621887,-1120.417174
-1015.001419,41,98.945911,39.898355,-1015.001419
-1136.816099,69,99.933418,871.383897,-1136.816099
-1055.892174,49,100.645576,-6.569988,-1055.892174
-977.309115,47,101.293968,-19.822993,-977.309115
-1019.672466,45,101.95918,51.087176,-1019.672466
-1081.300908,53,102.776129,-22.117188,-1081.300908
-1086.418808,60,103.693857,-93.780521,-1086.418808
-1085.138117,49,104.630903,30.958237,-1085.138117
-1022.823064,42,105.359832,-59.407896,-1022.823064
-974.520844,39,106.061425,9.096452,-974.520844
-1100.786725,57,107.025175,-39.235599,-1100.786725
-1071.548628,56,108.004975,-112.087696,-1071.548628
-940.500825,42,108.772365,-12.517557,-940.500825
-1058.450805,51,109.830872,-15.734894,-1058.450805
-1146.245567,63,110.972428,-85.439604,-1146.245567
-1177.272418,73,112.109655,-157.466527,-1177.272418
-1035.161283,38,112.907989,28.554106,-1035.161283
-942.739732,39,113.675404,44.426081,-942.739732
-1007.178936,42,114.750335,23.038636,-1007.178936
-1063.291127,55,115.76368,103.36466,-1063.291127
-1326.154947,86,117.348189,-275.307976,-1326.154947
-1123.290456,55,118.148464,-27.293935,-1123.290456
-1105.435353,51,118.944488,-7.143986,-1105.435353
-987.543208,40,119.585254,107.54261,-987.543208
-999.645344,43,120.275336,15.602121,-999.645344
-1008.280544,46,121.162422,37.477514,-1008.280544
-1002.391704,48,121.883328,-26.189489,-1002.391704
-1299.591869,80,123.27931,-256.360439,-1299.591869
-1107.70637,58,124.220227,-94.928473,-1107.70637
-1022.767909,45,124.864903,-0.460482,-1022.767909
-1016.090715,42,125.701831,-32.422875,-1016.090715
-1044.735706,58,126.623607,-6.230353,-1044.735706
-994.084227,39,127.448804,-6.058349,-994.084227
-1103.562203,56,128.486313,-69.072327,-1103.562203
-1166.419646,66,129.510442,-145.351115,-1166.419646
-1122.165864,61,130.640216,124.240354,-1122.165864
-1199.478033,72,131.927467,-101.533416,-1199.478033
-1232.748002,64,132.968748,-94.72993,-1232.748002
-1192.421238,72,134.087556,-170.138899,-1192.421238
-1044.798687,44,134.744962,-3.267953,-1044.798687
-1025.739005,51,135.506716,-32.665492,-1025.739005
-1046.388242,54,136.285099,-52.148156,-1046.388242
-939.312312,51,137.042665,-78.839318,-939.312312
-1115.712232,52,137.864933,-78.791106,-1115.712232
-1085.908805,60,138.819122,-101.322536,-1085.908805
-1041.894054,51,139.591903,-40.64181,-1041.894054
-1155.200426,59,140.467194,65.879481,-1155.200426
-970.370986,39,141.064716,31.924722,-970.370986
-1078.66136,56,141.889117,-81.192903,-1078.66136
-1049.300872,49,142.562706,-66.314437,-1049.300872
-1140.128429,62,143.42625,-55.195293,-1140.128429
-1219.086213,80,144.719631,-187.392231,-1219.086213
-1074.337713,48,145.510734,-30.540115,-1074.337713
-1160.979837,66,146.595633,-101.266352,-1160.979837
-1133.394634,56,147.352578,110.217424,-1133.394634
-1072.62258,55,149.151196,-85.831906,-1072.62258
-1095.356976,60,150.017127,-80.374793,-1095.356976
-1015.671989,46,150.680492,-9.677871,-1015.671989
-1055.069176,45,151.305648,89.576907,-1055.069176
-988.48376,43,151.949522,131.524697,-988.48376
-1260.276552,78,153.066956,-115.30687,-1260.276552
-1065.408349,51,153.779249,-74.466677,-1065.408349
-1125.704737,57,154.579509,-60.159799,-1125.704737
-990.238277,39,155.089061,69.339172,-990.238277
-1113.763847,63,155.955462,-109.602905,-1113.763847
-1153.946084,63,156.858009,-120.162664,-1153.946084
-988.475595,49,157.512723,-8.68984,-988.475595
-1172.498249,75,158.585309,-179.200304,-1172.498249
-1125.337422,60,159.570252,-114.93714,-1125.337422
-959.090882,89,160.809528,-285.857471,-959.090882
-1086.671645,59,161.652089,-122.234011,-1086.671645
-1368.099618,105,163.064903,668.084825,-1368.099618
-1119.510133,63,163.898511,-96.128719,-1119.510133
-992.455313,40,164.438941,-13.970988,-992.455313
-1189.442701,62,165.258154,-129.940908,-1189.442701
-1028.015988,47,165.95604,15.612904,-1028.015988
-1020.692965,39,166.468956,-1.405646,-1020.692965
-1033.103295,51,167.130521,66.4845,-1033.103295
-1140.306734,63,167.971942,-121.987743,-1140.306734
-1078.817306,46,168.596315,-33.53044,-1078.817306
-1124.430239,57,169.348898,-67.130572,-1124.430239
-1122.128941,59,170.152966,-99.235448,-1122.128941
-1463.011053,99,171.603843,-343.62696,-1463.011053
-1082.491705,59,172.397529,933.15261,-1082.491705
-994.81812,39,172.980477,42.540018,-994.81812
-1056.325045,42,173.541452,28.099589,-1056.325045
-970.139542,42,174.105876,36.817443,-970.139542
-947.152553,39,174.644041,82.619139,-947.152553
-1390.106326,101,176.031628,694.681453,-1390.106326
-1002.728989,44,176.619766,16.675501,-1002.728989
-1163.721703,69,177.887899,-186.472387,-1163.721703
-1378.664784,93,179.121534,-301.217677,-1378.664784
-1027.525181,47,179.794065,1014.83002,-1027.525181
-1039.170974,50,180.512073,15.141314,-1039.170974
-1042.319819,50,181.228101,-48.358397,-1042.319819
-1073.89133,55,181.973284,-52.54616,-1073.89133
-976.717621,44,182.604729,-3.944796,-976.717621
-1130.519542,54,183.297623,-61.814986,-1130.519542
-958.365992,44,183.950473,-10.146399,-958.365992
-974.857947,45,184.65367,1042.125835,-974.857947
-1040.048157,46,185.288391,-6.299302,-1040.048157
-1137.53829,49,186.001943,30.202947,-1137.53829
-958.631247,40,186.564227,36.147866,-958.631247
-1015.671863,46,187.274121,0.535311,-1015.671863
-1065.978788,48,187.930338,-37.525271,-1065.978788
-1070.243309,58,188.705235,-138.336698,-1070.243309
-1086.536383,62,189.56475,-101.114748,-1086.536383
-961.955194,49,190.361704,-39.309648,-961.955194
-1047.267292,53,191.41787,-52.190495,-1047.267292
-1000.639454,48,192.560595,-21.749042,-1000.639454
-1217.325785,77,194.123155,-133.500516,-1217.325785
-1001.615176,45,195.07752,-2.570115,-1001.615176
-1128.002566,60,196.098576,-68.649454,-1128.002566
-1009.386056,39,196.878319,61.533047,-1009.386056
-1057.544505,58,198.005726,-69.345621,-1057.544505
-1202.227692,62,199.145381,-122.24933,-1202.227692
-1144.053983,65,200.531362,-113.458807,-1144.053983
-1132.435964,51,201.379378,15.953742,-1132.435964
-1196.082149,78,202.730686,-213.027084,-1196.082149
-1129.367012,64,203.849411,-68.697992,-1129.367012
-1092.806025,53,204.628574,-37.539648,-1092.806025
-1025.340663,50,205.498369,-8.656744,-1025.340663
-1086.039208,48,206.408256,-44.488579,-1086.039208
-1035.769944,47,207.168509,-48.468769,-1035.769944
-1030.279743,45,207.95987,-27.766288,-1030.279743
-1097.225891,56,208.869776,-55.756536,-1097.225891
-1139.659563,63,210.006979,-84.33124,-1139.659563
-1031.2868,43,210.73699,-22.291735,-1031.2868
-947.872961,50,211.960749,-30.360878,-947.872961
-1072.861887,51,212.83685,-89.135259,-1072.861887
-974.914492,46,213.598041,1.907629,-974.914492
-1072.647763,55,214.491627,-118.207753,-1072.647763
-1118.573323,83,216.045778,-234.478888,-1118.573323
-1087.638648,44,216.799196,73.941312,-1087.638648
-951.788698,40,217.429918,25.564885,-951.788698
-1093.28936,61,218.493656,-93.287745,-1093.28936
-1147.84845,62,219.582621,-165.994786,-1147.84845
-1213.547316,70,220.956462,-140.233908,-1213.547316
-950.644694,48,221.704509,-100.319092,-950.644694
-997.948235,38,222.292912,40.589723,-997.948235
-1209.010937,70,223.341364,-122.427782,-1209.010937
-969.183631,44,223.980814,25.587294,-969.183631
-1095.662783,53,224.745655,140.28694,-1095.662783
-1018.69966,48,225.416132,-11.046858,-1018.69966
-1296.996873,97,226.848625,693.462719,-1296.996873
-1016.699174,48,227.526499,-16.756199,-1016.699174
-1098.35956,57,228.346756,-89.124479,-1098.35956
-1123.483899,54,229.14748,-71.502814,-1123.483899
-992.547265,50,229.892031,-3.248278,-992.547265
-1035.533953,44,230.495498,11.738317,-1035.533953
-1014.313196,45,231.166858,9.481604,-1014.313196
-1093.624127,51,231.886944,-1.022276,-1093.624127
