#{"t_start": 1638317606.172382, "env_id": "multicomp/SumoHumans-v0"}
r,l,t,r0,r1
-1119.26397,78,1.983575,-186.524082,-1119.26397
-1032.107692,39,2.382519,84.364138,-1032.107692
-1000.107056,45,2.811921,7.868421,-1000.107056
-1114.649118,64,3.418176,-109.720608,-1114.649118
-1042.630573,50,3.888036,-19.261606,-1042.630573
-998.324251,42,4.306083,30.872467,-998.324251
-1059.211307,43,4.721564,103.927367,-1059.211307
-986.652377,49,5.190512,-4.510232,-986.652377
-1099.818684,55,5.736617,75.756115,-1099.818684
-1338.868284,91,6.608673,-328.54952,-1338.868284
-1078.275152,44,7.054235,119.528927,-1078.275152
-1025.227888,49,7.528858,2.660543,-1025.227888
-978.183962,43,7.952412,-9.855385,-978.183962
-1073.849257,48,8.439739,-2.271541,-1073.849257
-1206.92883,76,9.184929,-144.845306,-1206.92883
-1150.019618,66,9.804019,-197.41625,-1150.019618
-1015.329563,38,10.200463,55.219718,-1015.329563
-1690.243311,72,10.907146,350.811824,-1690.243311
-1369.164617,54,11.43862,661.45179,-1369.164617
-1179.597645,62,12.036305,-88.041824,-1179.597645
-1012.515026,50,12.516433,-44.176631,-1012.515026
-1017.728678,47,12.952246,92.784427,-1017.728678
-1073.496855,53,13.451799,-20.533371,-1073.496855
-1023.014478,46,13.893307,48.516546,-1023.014478
-1264.576486,69,14.544906,-173.367793,-1264.576486
-1080.169427,48,14.990203,-4.591793,-1080.169427
-973.12585,38,15.36344,55.788576,-973.12585
-1001.797941,49,15.84697,-16.094151,-1001.797941
-1021.710719,45,16.278893,28.559278,-1021.710719
-1111.535571,64,16.936474,-102.319361,-1111.535571
-1303.485526,79,17.77587,-174.856755,-1303.485526
-1062.500245,55,18.318252,-85.479354,-1062.500245
-1060.0412,53,18.855881,-30.533914,-1060.0412
-1090.691539,58,19.54984,-101.92446,-1090.691539
-1049.081955,52,20.088599,-60.63042,-1049.081955
-1011.71612,64,20.756175,-149.599481,-1011.71612
-1093.898875,56,21.362124,-37.167448,-1093.898875
-1338.41501,85,22.679961,-252.550179,-1338.41501
-1467.372982,65,23.31875,393.227006,-1467.372982
-1270.644009,74,24.044959,-41.452157,-1270.644009
-1030.933654,42,24.466444,25.422354,-1030.933654
-1045.078829,43,24.907321,100.659794,-1045.078829
-1139.447841,59,25.503192,-98.68872,-1139.447841
-955.034272,39,25.909768,53.3631,-955.034272
-1120.546246,65,26.565314,-146.541915,-1120.546246
-1019.335994,49,27.048981,-13.15729,-1019.335994
-1053.497789,64,27.707137,-89.852846,-1053.497789
